Model 1,Model 2,McNemar Statistic,p-value,Significant (p < 0.05)
No_FS_XGBoost,No_FS_CatBoost,299.0,2.195790799747972e-208,True
No_FS_XGBoost,No_FS_LightGBM,229.0,0.0,True
No_FS_XGBoost,SHAP_RFE_XGBoost,506.0,0.00023250806295590758,True
No_FS_XGBoost,SHAP_RFE_CatBoost,318.0,4.4013138199619745e-182,True
No_FS_XGBoost,SHAP_RFE_LightGBM,230.0,0.0,True
No_FS_XGBoost,DeepSwarm_XGBoost,600.0,0.0,True
No_FS_XGBoost,DeepSwarm_CatBoost,405.0,0.0,True
No_FS_XGBoost,DeepSwarm_LightGBM,407.0,0.0,True
No_FS_CatBoost,No_FS_LightGBM,471.0,7.409307412355844e-133,True
No_FS_CatBoost,SHAP_RFE_XGBoost,267.0,1.0062450322763726e-246,True
No_FS_CatBoost,SHAP_RFE_CatBoost,276.0,0.0001601568535523472,True
No_FS_CatBoost,SHAP_RFE_LightGBM,512.0,4.9498634760743304e-92,True
No_FS_CatBoost,DeepSwarm_XGBoost,1264.0,0.0,True
No_FS_CatBoost,DeepSwarm_CatBoost,726.0,0.0,True
No_FS_CatBoost,DeepSwarm_LightGBM,729.0,0.0,True
No_FS_LightGBM,SHAP_RFE_XGBoost,225.0,0.0,True
No_FS_LightGBM,SHAP_RFE_CatBoost,441.0,4.175893299967202e-156,True
No_FS_LightGBM,SHAP_RFE_LightGBM,557.0,2.1137718560798015e-08,True
No_FS_LightGBM,DeepSwarm_XGBoost,1960.0,6.760229420707239e-110,True
No_FS_LightGBM,DeepSwarm_CatBoost,1165.0,0.0,True
No_FS_LightGBM,DeepSwarm_LightGBM,1090.0,0.0,True
SHAP_RFE_XGBoost,SHAP_RFE_CatBoost,280.0,4.300060868044242e-220,True
SHAP_RFE_XGBoost,SHAP_RFE_LightGBM,206.0,0.0,True
SHAP_RFE_XGBoost,DeepSwarm_XGBoost,543.0,0.0,True
SHAP_RFE_XGBoost,DeepSwarm_CatBoost,367.0,0.0,True
SHAP_RFE_XGBoost,DeepSwarm_LightGBM,354.0,0.0,True
SHAP_RFE_CatBoost,SHAP_RFE_LightGBM,469.0,1.2102957888904518e-113,True
SHAP_RFE_CatBoost,DeepSwarm_XGBoost,1232.0,0.0,True
SHAP_RFE_CatBoost,DeepSwarm_CatBoost,711.0,0.0,True
SHAP_RFE_CatBoost,DeepSwarm_LightGBM,710.0,0.0,True
SHAP_RFE_LightGBM,DeepSwarm_XGBoost,1843.0,1.4656987148915968e-139,True
SHAP_RFE_LightGBM,DeepSwarm_CatBoost,1096.0,0.0,True
SHAP_RFE_LightGBM,DeepSwarm_LightGBM,1045.0,0.0,True
DeepSwarm_XGBoost,DeepSwarm_CatBoost,789.0,0.0,True
DeepSwarm_XGBoost,DeepSwarm_LightGBM,823.0,0.0,True
DeepSwarm_CatBoost,DeepSwarm_LightGBM,1530.0,4.222777560229184e-05,True
